time,USD
2023/6/2,"1,963.30"
2023/6/5,"1,959.70"
2023/6/6,"1,957.30"
2023/6/7,"1,967.40"
2023/6/8,"1,966.40"
2023/6/9,"1,960.30"
2023/6/12,"1,952.90"
2023/6/13,"1,954.40"
2023/6/14,"1,955.80"
2023/6/15,"1,952.40"
2023/6/16,"1,959.80"
2023/6/19,"1,951.20"
2023/6/20,"1,930.50"
2023/6/21,"1,925.70"
2023/6/22,"1,920.10"
2023/6/23,"1,930.70"
2023/6/26,"1,922.90"
2023/6/27,"1,918.90"
2023/6/28,"1,908.40"
2023/6/29,"1,899.60"
2023/6/30,"1,912.30"
2023/7/3,"1,928.80"
2023/7/4,"1,927.80"
2023/7/5,"1,924.70"
2023/7/6,"1,908.80"
2023/7/7,"1,922.30"
2023/7/10,"1,922.80"
2023/7/11,"1,934.00"
2023/7/12,"1,953.30"
2023/7/13,"1,958.10"
2023/7/14,"1,953.70"
2023/7/17,"1,949.60"
2023/7/18,"1,975.00"
2023/7/19,"1,975.40"
2023/7/20,"1,976.10"
2023/7/21,"1,960.60"
2023/7/24,"1,960.00"
2023/7/25,"1,958.70"
